state,date,total_cases,daily_cases,daily_cases_per_capita
Alabama,2020-03-20,106.00,28.00,0.57
Alabama,2020-03-21,131.00,25.00,0.51
Alabama,2020-03-22,167.00,36.00,0.73
Alabama,2020-03-23,196.00,29.00,0.59
Alabama,2020-03-24,242.00,46.00,0.94
Alabama,2020-03-25,386.00,144.00,2.94
Alabama,2020-03-26,531.00,145.00,2.96
Alabama,2020-03-27,639.00,108.00,2.20
Alabama,2020-03-28,717.00,78.00,1.59
Alabama,2020-03-29,825.00,108.00,2.20
Alabama,2020-03-30,941.00,116.00,2.37
Alabama,2020-03-31,997.00,56.00,1.14
Alabama,2020-04-01,1106.00,109.00,2.22
Alabama,2020-04-02,1270.00,164.00,3.34
Alabama,2020-04-03,1534.00,264.00,5.38
Alabama,2020-04-04,1632.00,98.00,2.00
Alabama,2020-04-05,1840.00,208.00,4.24
Alabama,2020-04-06,2003.00,163.00,3.32
Alabama,2020-04-07,2197.00,194.00,3.96
Alabama,2020-04-08,2497.00,300.00,6.12
Alabama,2020-04-09,2838.00,341.00,6.95
Alabama,2020-04-10,3007.00,169.00,3.45
Alabama,2020-04-11,3262.00,255.00,5.20
Alabama,2020-04-12,3581.00,319.00,6.51
Alabama,2020-04-13,3801.00,220.00,4.49
Alabama,2020-04-14,3951.00,150.00,3.06
Alabama,2020-04-15,4237.00,286.00,5.83
Alabama,2020-04-16,4400.00,163.00,3.32
Alabama,2020-04-17,4515.00,115.00,2.35
Alabama,2020-04-18,4719.00,204.00,4.16
Alabama,2020-04-19,4897.00,178.00,3.63
Alabama,2020-04-20,5074.00,177.00,3.61
Alabama,2020-04-21,5317.00,243.00,4.96
Alabama,2020-04-22,5598.00,281.00,5.73
Alabama,2020-04-23,5825.00,227.00,4.63
Alabama,2020-04-24,6026.00,201.00,4.10
Alabama,2020-04-25,6213.00,187.00,3.81
Alabama,2020-04-26,6417.00,204.00,4.16
Alabama,2020-04-27,6537.00,120.00,2.45
Alabama,2020-04-28,6744.00,207.00,4.22
Alabama,2020-04-29,6916.00,172.00,3.51
Alabama,2020-04-30,7063.00,147.00,3.00
Alabama,2020-05-01,7294.00,231.00,4.71
Alabama,2020-05-02,7611.00,317.00,6.47
Alabama,2020-05-03,7885.00,274.00,5.59
Alabama,2020-05-04,8110.00,225.00,4.59
Alabama,2020-05-05,8436.00,326.00,6.65
Alabama,2020-05-06,8691.00,255.00,5.20
Alabama,2020-05-07,9046.00,355.00,7.24
Alabama,2020-05-08,9384.00,338.00,6.89
Alabama,2020-05-09,9668.00,284.00,5.79
Alabama,2020-05-10,9889.00,221.00,4.51
Alabama,2020-05-11,10164.00,275.00,5.61
Alabama,2020-05-12,10468.00,304.00,6.20
Alabama,2020-05-13,10699.00,231.00,4.71
Alabama,2020-05-14,11094.00,395.00,8.06
Alabama,2020-05-15,11387.00,293.00,5.98
Alabama,2020-05-16,11671.00,284.00,5.79
Alabama,2020-05-17,11768.00,97.00,1.98
Alabama,2020-05-18,12078.00,310.00,6.32
Alabama,2020-05-19,12374.00,296.00,6.04
Alabama,2020-05-20,13049.00,675.00,13.77
Alabama,2020-05-21,13410.00,361.00,7.36
Alabama,2020-05-22,13670.00,260.00,5.30
Alabama,2020-05-23,14152.00,482.00,9.83
Alabama,2020-05-24,14507.00,355.00,7.24
Alabama,2020-05-25,15194.00,687.00,14.01
Alabama,2020-05-26,15648.00,454.00,9.26
Alabama,2020-05-27,16029.00,381.00,7.77
Alabama,2020-05-28,16553.00,524.00,10.69
Alabama,2020-05-29,17031.00,478.00,9.75
Alabama,2020-05-30,17358.00,327.00,6.67
Alabama,2020-05-31,17849.00,491.00,10.01
Alabama,2020-06-01,18246.00,397.00,8.10
Alabama,2020-06-02,18427.00,181.00,3.69
Alabama,2020-06-03,18553.00,126.00,2.57
Alabama,2020-06-04,18766.00,213.00,4.34
Alabama,2020-06-05,19073.00,307.00,6.26
Alabama,2020-06-06,19709.00,636.00,12.97
Alabama,2020-06-07,20166.00,457.00,9.32
Alabama,2020-06-08,20590.00,424.00,8.65
Alabama,2020-06-09,21071.00,481.00,9.81
Alabama,2020-06-10,21626.00,555.00,11.32
Alabama,2020-06-11,22474.00,848.00,17.29
Alabama,2020-06-12,23333.00,859.00,17.52
Alabama,2020-06-13,24220.00,887.00,18.09
Alabama,2020-06-14,25235.00,1015.00,20.70
Alabama,2020-06-15,26272.00,1037.00,21.15
Alabama,2020-06-16,26912.00,640.00,13.05
Alabama,2020-06-17,27312.00,400.00,8.16
Alabama,2020-06-18,28206.00,894.00,18.23
Alabama,2020-06-19,29002.00,796.00,16.23
Alabama,2020-06-20,29549.00,547.00,11.16
Alabama,2020-06-21,30021.00,472.00,9.63
Alabama,2020-06-22,30453.00,432.00,8.81
Alabama,2020-06-23,31097.00,644.00,13.13
Alabama,2020-06-24,32064.00,967.00,19.72
Alabama,2020-06-25,33206.00,1142.00,23.29
Alabama,2020-06-26,34180.00,974.00,19.86
Alabama,2020-06-27,35077.00,897.00,18.29
Alabama,2020-06-28,35430.00,353.00,7.20
Alabama,2020-06-29,37174.00,1744.00,35.57
Alabama,2020-06-30,38045.00,871.00,17.76
Alabama,2020-07-01,38962.00,917.00,18.70
Alabama,2020-07-02,40111.00,1149.00,23.43
Alabama,2020-07-03,41864.00,1753.00,35.75
Alabama,2020-07-04,42862.00,998.00,20.35
Alabama,2020-07-05,43951.00,1089.00,22.21
Alabama,2020-07-06,44874.00,923.00,18.82
Alabama,2020-07-07,45784.00,910.00,18.56
Alabama,2020-07-08,46962.00,1178.00,24.03
Alabama,2020-07-09,49173.00,2211.00,45.09
Alabama,2020-07-10,50508.00,1335.00,27.23
Alaska,2020-01-23,0.00,0.00,0.00
Alaska,2020-01-24,0.00,0.00,0.00
Alaska,2020-01-25,0.00,0.00,0.00
Alaska,2020-01-26,0.00,0.00,0.00
Alaska,2020-01-27,0.00,0.00,0.00
Alaska,2020-01-28,0.00,0.00,0.00
Alaska,2020-01-29,0.00,0.00,0.00
Alaska,2020-01-30,0.00,0.00,0.00
Alaska,2020-01-31,0.00,0.00,0.00
Alaska,2020-02-01,0.00,0.00,0.00
Alaska,2020-02-02,0.00,0.00,0.00
Alaska,2020-02-03,0.00,0.00,0.00
Alaska,2020-02-04,0.00,0.00,0.00
Alaska,2020-02-05,0.00,0.00,0.00
Alaska,2020-02-06,0.00,0.00,0.00
Alaska,2020-02-07,0.00,0.00,0.00
Alaska,2020-02-08,0.00,0.00,0.00
Alaska,2020-02-09,0.00,0.00,0.00
Alaska,2020-02-10,0.00,0.00,0.00
Alaska,2020-02-11,0.00,0.00,0.00
Alaska,2020-02-12,0.00,0.00,0.00
Alaska,2020-02-13,0.00,0.00,0.00
Alaska,2020-02-14,0.00,0.00,0.00
Alaska,2020-02-15,0.00,0.00,0.00
Alaska,2020-02-16,0.00,0.00,0.00
Alaska,2020-02-17,0.00,0.00,0.00
Alaska,2020-02-18,0.00,0.00,0.00
Alaska,2020-02-19,0.00,0.00,0.00
Alaska,2020-02-20,0.00,0.00,0.00
Alaska,2020-02-21,0.00,0.00,0.00
Alaska,2020-02-22,0.00,0.00,0.00
Alaska,2020-02-23,0.00,0.00,0.00
Alaska,2020-02-24,0.00,0.00,0.00
Alaska,2020-02-25,0.00,0.00,0.00
Alaska,2020-02-26,0.00,0.00,0.00
Alaska,2020-02-27,0.00,0.00,0.00
Alaska,2020-02-28,0.00,0.00,0.00
Alaska,2020-02-29,0.00,0.00,0.00
Alaska,2020-03-01,0.00,0.00,0.00
Alaska,2020-03-02,0.00,0.00,0.00
Alaska,2020-03-03,0.00,0.00,0.00
Alaska,2020-03-04,0.00,0.00,0.00
Alaska,2020-03-05,0.00,0.00,0.00
Alaska,2020-03-06,0.00,0.00,0.00
Alaska,2020-03-07,0.00,0.00,0.00
Alaska,2020-03-08,0.00,0.00,0.00
Alaska,2020-03-09,0.00,0.00,0.00
Alaska,2020-03-10,0.00,0.00,0.00
Alaska,2020-03-11,0.00,0.00,0.00
Alaska,2020-03-12,1.00,1.00,0.14
Alaska,2020-03-13,1.00,0.00,0.00
Alaska,2020-03-14,1.00,0.00,0.00
Alaska,2020-03-15,1.00,0.00,0.00
Alaska,2020-03-16,3.00,2.00,0.27
Alaska,2020-03-17,6.00,3.00,0.41
Alaska,2020-03-18,6.00,0.00,0.00
Alaska,2020-03-19,9.00,3.00,0.41
Alaska,2020-03-20,9.00,0.00,0.00
Alaska,2020-03-21,9.00,0.00,0.00
Alaska,2020-03-22,23.00,14.00,1.91
Alaska,2020-03-23,36.00,13.00,1.78
Alaska,2020-03-24,42.00,6.00,0.82
Alaska,2020-03-25,59.00,17.00,2.32
Alaska,2020-03-26,69.00,10.00,1.37
Alaska,2020-03-27,85.00,16.00,2.19
Alaska,2020-03-28,102.00,17.00,2.32
Alaska,2020-03-29,114.00,12.00,1.64
Alaska,2020-03-30,119.00,5.00,0.68
Alaska,2020-03-31,133.00,14.00,1.91
Alaska,2020-04-01,142.00,9.00,1.23
Alaska,2020-04-02,146.00,4.00,0.55
Alaska,2020-04-03,157.00,11.00,1.50
Alaska,2020-04-04,171.00,14.00,1.91
Alaska,2020-04-05,185.00,14.00,1.91
Alaska,2020-04-06,191.00,6.00,0.82
Alaska,2020-04-07,213.00,22.00,3.01
Alaska,2020-04-08,225.00,12.00,1.64
Alaska,2020-04-09,235.00,10.00,1.37
Alaska,2020-04-10,246.00,11.00,1.50
Alaska,2020-04-11,257.00,11.00,1.50
Alaska,2020-04-12,272.00,15.00,2.05
Alaska,2020-04-13,277.00,5.00,0.68
Alaska,2020-04-14,285.00,8.00,1.09
Alaska,2020-04-15,293.00,8.00,1.09
Alaska,2020-04-16,300.00,7.00,0.96
Alaska,2020-04-17,309.00,9.00,1.23
Alaska,2020-04-18,314.00,5.00,0.68
Alaska,2020-04-19,319.00,5.00,0.68
Alaska,2020-04-20,321.00,2.00,0.27
Alaska,2020-04-21,329.00,8.00,1.09
Alaska,2020-04-22,335.00,6.00,0.82
Alaska,2020-04-23,337.00,2.00,0.27
Alaska,2020-04-24,339.00,2.00,0.27
Alaska,2020-04-25,339.00,0.00,0.00
Alaska,2020-04-26,341.00,2.00,0.27
Alaska,2020-04-27,345.00,4.00,0.55
Alaska,2020-04-28,351.00,6.00,0.82
Alaska,2020-04-29,355.00,4.00,0.55
Alaska,2020-04-30,355.00,0.00,0.00
Alaska,2020-05-01,364.00,9.00,1.23
Alaska,2020-05-02,365.00,1.00,0.14
Alaska,2020-05-03,368.00,3.00,0.41
Alaska,2020-05-04,370.00,2.00,0.27
Alaska,2020-05-05,371.00,1.00,0.14
Alaska,2020-05-06,372.00,1.00,0.14
Alaska,2020-05-07,374.00,2.00,0.27
Alaska,2020-05-08,377.00,3.00,0.41
Alaska,2020-05-09,378.00,1.00,0.14
Alaska,2020-05-10,379.00,1.00,0.14
Alaska,2020-05-11,381.00,2.00,0.27
Alaska,2020-05-12,383.00,2.00,0.27
Alaska,2020-05-13,383.00,0.00,0.00
Alaska,2020-05-14,387.00,4.00,0.55
Alaska,2020-05-15,387.00,0.00,0.00
Alaska,2020-05-16,387.00,0.00,0.00
Alaska,2020-05-17,396.00,9.00,1.23
Alaska,2020-05-18,399.00,3.00,0.41
Alaska,2020-05-19,399.00,0.00,0.00
Alaska,2020-05-20,401.00,2.00,0.27
Alaska,2020-05-21,401.00,0.00,0.00
Alaska,2020-05-22,403.00,2.00,0.27
Alaska,2020-05-23,407.00,4.00,0.55
Alaska,2020-05-24,407.00,0.00,0.00
Alaska,2020-05-25,408.00,1.00,0.14
Alaska,2020-05-26,410.00,2.00,0.27
Alaska,2020-05-27,411.00,1.00,0.14
Alaska,2020-05-28,424.00,13.00,1.78
Alaska,2020-05-29,429.00,5.00,0.68
Alaska,2020-05-30,433.00,4.00,0.55
Alaska,2020-05-31,459.00,26.00,3.55
Alaska,2020-06-01,466.00,7.00,0.96
Alaska,2020-06-02,486.00,20.00,2.73
Alaska,2020-06-03,504.00,18.00,2.46
Alaska,2020-06-04,512.00,8.00,1.09
Alaska,2020-06-05,523.00,11.00,1.50
Alaska,2020-06-06,535.00,12.00,1.64
Alaska,2020-06-07,543.00,8.00,1.09
Alaska,2020-06-08,562.00,19.00,2.60
Alaska,2020-06-09,572.00,10.00,1.37
Alaska,2020-06-10,592.00,20.00,2.73
Alaska,2020-06-11,609.00,17.00,2.32
Alaska,2020-06-12,624.00,15.00,2.05
Alaska,2020-06-13,651.00,27.00,3.69
Alaska,2020-06-14,660.00,9.00,1.23
Alaska,2020-06-15,663.00,3.00,0.41
Alaska,2020-06-16,675.00,12.00,1.64
Alaska,2020-06-17,695.00,20.00,2.73
Alaska,2020-06-18,707.00,12.00,1.64
Alaska,2020-06-19,720.00,13.00,1.78
Alaska,2020-06-20,741.00,21.00,2.87
Alaska,2020-06-21,752.00,11.00,1.50
Alaska,2020-06-22,758.00,6.00,0.82
Alaska,2020-06-23,758.00,0.00,0.00
Alaska,2020-06-24,758.00,0.00,0.00
Alaska,2020-06-25,783.00,25.00,3.42
Alaska,2020-06-26,825.00,42.00,5.74
Alaska,2020-06-27,825.00,0.00,0.00
Alaska,2020-06-28,866.00,41.00,5.60
Alaska,2020-06-29,890.00,24.00,3.28
Alaska,2020-06-30,922.00,32.00,4.37
Alaska,2020-07-01,957.00,35.00,4.78
Alaska,2020-07-02,957.00,0.00,0.00
Alaska,2020-07-03,1034.00,77.00,10.53
Alaska,2020-07-04,1078.00,44.00,6.01
Alaska,2020-07-05,1105.00,27.00,3.69
Alaska,2020-07-06,1133.00,28.00,3.83
Alaska,2020-07-07,1148.00,15.00,2.05
Alaska,2020-07-08,1186.00,38.00,5.19
Alaska,2020-07-09,1229.00,43.00,5.88
Alaska,2020-07-10,1279.00,50.00,6.83
Arizona,2020-01-23,0.00,0.00,0.00
Arizona,2020-01-24,0.00,0.00,0.00
Arizona,2020-01-25,0.00,0.00,0.00
Arizona,2020-01-26,1.00,1.00,0.01
Arizona,2020-01-27,1.00,0.00,0.00
Arizona,2020-01-28,1.00,0.00,0.00
Arizona,2020-01-29,1.00,0.00,0.00
Arizona,2020-01-30,1.00,0.00,0.00
Arizona,2020-01-31,1.00,0.00,0.00
Arizona,2020-02-01,1.00,0.00,0.00
Arizona,2020-02-02,1.00,0.00,0.00
Arizona,2020-02-03,1.00,0.00,0.00
Arizona,2020-02-04,1.00,0.00,0.00
Arizona,2020-02-05,1.00,0.00,0.00
Arizona,2020-02-06,1.00,0.00,0.00
Arizona,2020-02-07,1.00,0.00,0.00
Arizona,2020-02-08,1.00,0.00,0.00
Arizona,2020-02-09,1.00,0.00,0.00
Arizona,2020-02-10,1.00,0.00,0.00
Arizona,2020-02-11,1.00,0.00,0.00
Arizona,2020-02-12,1.00,0.00,0.00
Arizona,2020-02-13,1.00,0.00,0.00
Arizona,2020-02-14,1.00,0.00,0.00
Arizona,2020-02-15,1.00,0.00,0.00
Arizona,2020-02-16,1.00,0.00,0.00
Arizona,2020-02-17,1.00,0.00,0.00
Arizona,2020-02-18,1.00,0.00,0.00
Arizona,2020-02-19,1.00,0.00,0.00
Arizona,2020-02-20,1.00,0.00,0.00
Arizona,2020-02-21,1.00,0.00,0.00
Arizona,2020-02-22,1.00,0.00,0.00
Arizona,2020-02-23,1.00,0.00,0.00
Arizona,2020-02-24,1.00,0.00,0.00
Arizona,2020-02-25,1.00,0.00,0.00
Arizona,2020-02-26,1.00,0.00,0.00
Arizona,2020-02-27,1.00,0.00,0.00
Arizona,2020-02-28,1.00,0.00,0.00
Arizona,2020-02-29,1.00,0.00,0.00
Arizona,2020-03-01,1.00,0.00,0.00
Arizona,2020-03-02,1.00,0.00,0.00
Arizona,2020-03-03,1.00,0.00,0.00
Arizona,2020-03-04,1.00,0.00,0.00
Arizona,2020-03-05,1.00,0.00,0.00
Arizona,2020-03-06,2.00,1.00,0.01
Arizona,2020-03-07,4.00,2.00,0.03
Arizona,2020-03-08,4.00,0.00,0.00
Arizona,2020-03-09,6.00,2.00,0.03
Arizona,2020-03-10,6.00,0.00,0.00
Arizona,2020-03-11,10.00,4.00,0.05
Arizona,2020-03-12,10.00,0.00,0.00
Arizona,2020-03-13,10.00,0.00,0.00
Arizona,2020-03-14,12.00,2.00,0.03
Arizona,2020-03-15,12.00,0.00,0.00
Arizona,2020-03-16,18.00,6.00,0.08
Arizona,2020-03-17,20.00,2.00,0.03
Arizona,2020-03-18,27.00,7.00,0.10
Arizona,2020-03-19,44.00,17.00,0.23
Arizona,2020-03-20,62.00,18.00,0.25
Arizona,2020-03-21,102.00,40.00,0.55
Arizona,2020-03-22,150.00,48.00,0.66
Arizona,2020-03-23,232.00,82.00,1.13
Arizona,2020-03-24,326.00,94.00,1.29
Arizona,2020-03-25,401.00,75.00,1.03
Arizona,2020-03-26,508.00,107.00,1.47
Arizona,2020-03-27,663.00,155.00,2.13
Arizona,2020-03-28,773.00,110.00,1.51
Arizona,2020-03-29,919.00,146.00,2.01
Arizona,2020-03-30,1154.00,235.00,3.23
Arizona,2020-03-31,1289.00,135.00,1.85
Arizona,2020-04-01,1414.00,125.00,1.72
Arizona,2020-04-02,1596.00,182.00,2.50
Arizona,2020-04-03,1769.00,173.00,2.38
Arizona,2020-04-04,2018.00,249.00,3.42
Arizona,2020-04-05,2269.00,251.00,3.45
Arizona,2020-04-06,2456.00,187.00,2.57
Arizona,2020-04-07,2575.00,119.00,1.63
Arizona,2020-04-08,2726.00,151.00,2.07
Arizona,2020-04-09,3018.00,292.00,4.01
Arizona,2020-04-10,3111.00,93.00,1.28
Arizona,2020-04-11,3393.00,282.00,3.87
Arizona,2020-04-12,3539.00,146.00,2.01
Arizona,2020-04-13,3701.00,162.00,2.23
Arizona,2020-04-14,3798.00,97.00,1.33
Arizona,2020-04-15,3962.00,164.00,2.25
Arizona,2020-04-16,4234.00,272.00,3.74
Arizona,2020-04-17,4507.00,273.00,3.75
Arizona,2020-04-18,4718.00,211.00,2.90
Arizona,2020-04-19,4928.00,210.00,2.89
Arizona,2020-04-20,5064.00,136.00,1.87
Arizona,2020-04-21,5251.00,187.00,2.57
Arizona,2020-04-22,5459.00,208.00,2.86
Arizona,2020-04-23,5768.00,309.00,4.25
Arizona,2020-04-24,6043.00,275.00,3.78
Arizona,2020-04-25,6280.00,237.00,3.26
Arizona,2020-04-26,6526.00,246.00,3.38
Arizona,2020-04-27,6716.00,190.00,2.61
Arizona,2020-04-28,6948.00,232.00,3.19
Arizona,2020-04-29,7202.00,254.00,3.49
Arizona,2020-04-30,7648.00,446.00,6.13
Arizona,2020-05-01,7961.00,313.00,4.30
Arizona,2020-05-02,8364.00,403.00,5.54
Arizona,2020-05-03,8640.00,276.00,3.79
Arizona,2020-05-04,8919.00,279.00,3.83
Arizona,2020-05-05,9304.00,385.00,5.29
Arizona,2020-05-06,9706.00,402.00,5.52
Arizona,2020-05-07,9944.00,238.00,3.27
Arizona,2020-05-08,10526.00,582.00,8.00
Arizona,2020-05-09,10960.00,434.00,5.96
Arizona,2020-05-10,11118.00,158.00,2.17
Arizona,2020-05-11,11379.00,261.00,3.59
Arizona,2020-05-12,11735.00,356.00,4.89
Arizona,2020-05-13,12175.00,440.00,6.05
Arizona,2020-05-14,12673.00,498.00,6.84
Arizona,2020-05-15,13168.00,495.00,6.80
Arizona,2020-05-16,13631.00,463.00,6.36
Arizona,2020-05-17,13937.00,306.00,4.20
Arizona,2020-05-18,14170.00,233.00,3.20
Arizona,2020-05-19,14566.00,396.00,5.44
Arizona,2020-05-20,14897.00,331.00,4.55
Arizona,2020-05-21,15315.00,418.00,5.74
Arizona,2020-05-22,15607.00,292.00,4.01
Arizona,2020-05-23,16039.00,432.00,5.94
Arizona,2020-05-24,16339.00,300.00,4.12
Arizona,2020-05-25,16560.00,221.00,3.04
Arizona,2020-05-26,16782.00,222.00,3.05
Arizona,2020-05-27,17261.00,479.00,6.58
Arizona,2020-05-28,17763.00,502.00,6.90
Arizona,2020-05-29,18465.00,702.00,9.64
Arizona,2020-05-30,19255.00,790.00,10.85
Arizona,2020-05-31,20119.00,864.00,11.87
Arizona,2020-06-01,20123.00,4.00,0.05
Arizona,2020-06-02,21249.00,1126.00,15.47
Arizona,2020-06-03,22220.00,971.00,13.34
Arizona,2020-06-04,22753.00,533.00,7.32
Arizona,2020-06-05,24331.00,1578.00,21.68
Arizona,2020-06-06,25451.00,1120.00,15.39
Arizona,2020-06-07,26889.00,1438.00,19.76
Arizona,2020-06-08,27677.00,788.00,10.83
Arizona,2020-06-09,28296.00,619.00,8.50
Arizona,2020-06-10,29852.00,1556.00,21.38
Arizona,2020-06-11,31263.00,1411.00,19.39
Arizona,2020-06-12,32918.00,1655.00,22.74
Arizona,2020-06-13,34458.00,1540.00,21.16
Arizona,2020-06-14,35691.00,1233.00,16.94
Arizona,2020-06-15,36705.00,1014.00,13.93
Arizona,2020-06-16,39097.00,2392.00,32.86
Arizona,2020-06-17,40924.00,1827.00,25.10
Arizona,2020-06-18,43443.00,2519.00,34.61
Arizona,2020-06-19,46688.00,3245.00,44.58
Arizona,2020-06-20,49798.00,3110.00,42.73
Arizona,2020-06-21,52390.00,2592.00,35.61
Arizona,2020-06-22,54586.00,2196.00,30.17
Arizona,2020-06-23,58353.00,3767.00,51.75
Arizona,2020-06-24,59973.00,1620.00,22.26
Arizona,2020-06-25,63030.00,3057.00,42.00
Arizona,2020-06-26,66458.00,3428.00,47.10
Arizona,2020-06-27,70049.00,3591.00,49.34
Arizona,2020-06-28,73907.00,3858.00,53.00
Arizona,2020-06-29,74532.00,625.00,8.59
Arizona,2020-06-30,79204.00,4672.00,64.19
Arizona,2020-07-01,84092.00,4888.00,67.15
Arizona,2020-07-02,87424.00,3332.00,45.78
Arizona,2020-07-03,91857.00,4433.00,60.90
Arizona,2020-07-04,94553.00,2696.00,37.04
Arizona,2020-07-05,98084.00,3531.00,48.51
Arizona,2020-07-06,101441.00,3357.00,46.12
Arizona,2020-07-07,105094.00,3653.00,50.19
Arizona,2020-07-08,108614.00,3520.00,48.36
Arizona,2020-07-09,112671.00,4057.00,55.74
Arizona,2020-07-10,116892.00,4221.00,57.99
Arkansas,2020-01-23,0.00,0.00,0.00
Arkansas,2020-01-24,0.00,0.00,0.00
Arkansas,2020-01-25,0.00,0.00,0.00
Arkansas,2020-01-26,0.00,0.00,0.00
Arkansas,2020-01-27,0.00,0.00,0.00
Arkansas,2020-01-28,0.00,0.00,0.00
Arkansas,2020-01-29,0.00,0.00,0.00
Arkansas,2020-01-30,0.00,0.00,0.00
Arkansas,2020-01-31,0.00,0.00,0.00
Arkansas,2020-02-01,0.00,0.00,0.00
Arkansas,2020-02-02,0.00,0.00,0.00
Arkansas,2020-02-03,0.00,0.00,0.00
Arkansas,2020-02-04,0.00,0.00,0.00
Arkansas,2020-02-05,0.00,0.00,0.00
Arkansas,2020-02-06,0.00,0.00,0.00
Arkansas,2020-02-07,0.00,0.00,0.00
Arkansas,2020-02-08,0.00,0.00,0.00
Arkansas,2020-02-09,0.00,0.00,0.00
Arkansas,2020-02-10,0.00,0.00,0.00
Arkansas,2020-02-11,0.00,0.00,0.00
Arkansas,2020-02-12,0.00,0.00,0.00
Arkansas,2020-02-13,0.00,0.00,0.00
Arkansas,2020-02-14,0.00,0.00,0.00
Arkansas,2020-02-15,0.00,0.00,0.00
Arkansas,2020-02-16,0.00,0.00,0.00
Arkansas,2020-02-17,0.00,0.00,0.00
Arkansas,2020-02-18,0.00,0.00,0.00
Arkansas,2020-02-19,0.00,0.00,0.00
Arkansas,2020-02-20,0.00,0.00,0.00
Arkansas,2020-02-21,0.00,0.00,0.00
Arkansas,2020-02-22,0.00,0.00,0.00
Arkansas,2020-02-23,0.00,0.00,0.00
Arkansas,2020-02-24,0.00,0.00,0.00
Arkansas,2020-02-25,0.00,0.00,0.00
Arkansas,2020-02-26,0.00,0.00,0.00
Arkansas,2020-02-27,0.00,0.00,0.00
Arkansas,2020-02-28,0.00,0.00,0.00
Arkansas,2020-02-29,0.00,0.00,0.00
Arkansas,2020-03-01,0.00,0.00,0.00
Arkansas,2020-03-02,0.00,0.00,0.00
Arkansas,2020-03-03,0.00,0.00,0.00
Arkansas,2020-03-04,0.00,0.00,0.00
Arkansas,2020-03-05,0.00,0.00,0.00
Arkansas,2020-03-06,0.00,0.00,0.00
Arkansas,2020-03-07,0.00,0.00,0.00
Arkansas,2020-03-08,0.00,0.00,0.00
Arkansas,2020-03-09,0.00,0.00,0.00
Arkansas,2020-03-10,0.00,0.00,0.00
Arkansas,2020-03-11,1.00,1.00,0.03
Arkansas,2020-03-12,3.00,2.00,0.07
Arkansas,2020-03-13,3.00,0.00,0.00
Arkansas,2020-03-14,6.00,3.00,0.10
Arkansas,2020-03-15,7.00,1.00,0.03
Arkansas,2020-03-16,16.00,9.00,0.30
Arkansas,2020-03-17,16.00,0.00,0.00
Arkansas,2020-03-18,19.00,3.00,0.10
Arkansas,2020-03-19,47.00,28.00,0.93
Arkansas,2020-03-20,65.00,18.00,0.60
